site,layer,score,records
answer_prefix,0,0.01875,20
answer_prefix,1,0.00625,20
answer_prefix,2,0.0125,20
answer_prefix,3,0.0125,20
answer_prefix,4,0.0125,20
answer_prefix,5,0.0125,20
answer_prefix,6,0.0125,20
answer_prefix,7,0.0125,20
answer_prefix,8,-0.00625,20
answer_prefix,9,0.025,20
answer_prefix,10,0.0,20
answer_prefix,11,0.00625,20
answer_prefix,12,0.0125,20
answer_prefix,13,-0.00625,20
answer_prefix,14,0.00625,20
answer_prefix,15,0.0,20
answer_prefix,16,0.03125,20
answer_prefix,17,0.04375,20
answer_prefix,18,0.0125,20
answer_prefix,19,0.03125,20
answer_prefix,20,0.0375,20
answer_prefix,21,0.025,20
answer_prefix,22,0.075,20
answer_prefix,23,0.075,20
answer_prefix,24,0.15625,20
answer_prefix,25,0.15625,20
answer_prefix,26,0.15625,20
answer_prefix,27,0.1625,20
answer_prefix,28,0.175,20
answer_prefix,29,0.25,20
answer_prefix,30,1.14375,20
answer_prefix,31,1.2875,20
final_prompt,0,0.01875,20
final_prompt,1,0.00625,20
final_prompt,2,0.00625,20
final_prompt,3,0.025,20
final_prompt,4,0.025,20
final_prompt,5,0.0125,20
final_prompt,6,0.01875,20
final_prompt,7,0.0125,20
final_prompt,8,0.0125,20
final_prompt,9,0.03125,20
final_prompt,10,0.01875,20
final_prompt,11,0.0125,20
final_prompt,12,0.00625,20
final_prompt,13,0.0375,20
final_prompt,14,0.0125,20
final_prompt,15,0.00625,20
final_prompt,16,-0.00625,20
final_prompt,17,0.0125,20
final_prompt,18,0.0125,20
final_prompt,19,-0.00625,20
final_prompt,20,0.0,20
final_prompt,21,0.00625,20
final_prompt,22,0.0125,20
final_prompt,23,0.0,20
final_prompt,24,0.01875,20
final_prompt,25,0.0125,20
final_prompt,26,-0.00625,20
final_prompt,27,0.025,20
final_prompt,28,0.0375,20
final_prompt,29,0.01875,20
final_prompt,30,0.00625,20
final_prompt,31,0.0,20
