pair_id,tier,split,group_id,clean_id,corrupt_id,reliability,winner,agreement_c1,agreement_c2,clean_schedule,corrupt_schedule,strict_boundary_pair,same_grid,same_questions,same_reports
0b6358c367779bd1e8d9,grid,train,006dac76278839f1f53d,c55e66a0e08949e6dfb65d35,f2d84016ba3ebf038c2c6b7a,3/20,C2,3,1,54,46,True,True,False,False
0cf3da6edc5041567c47,grid,train,0358ea7a5a31e0659f3f,42640c507ba2f5edd8f6d080,72d1ed6078f68127b2eee208,9/20,C2,3,2,36,26,True,True,False,True
10bc048610c24e97a3e7,grid,train,0384d8764a73c20ceeb2,d4c0168eb832a75fde0ebbc0,b6d6fcc0d393e01437fb5765,1/20,C2,2,1,30,33,True,True,False,False
14ed01064427b9ed220f,grid,train,067a5a5abe03a53da097,fba1a1793c08adae92350f34,ee6f6ea72d1adfa42609ccd2,1/20,C2,1,0,57,34,True,True,False,False
1919f5555e4a31d355bb,grid,train,0b0de99cb8beb02a596d,73004a53d5a78885bd680b5b,d9e2059af1db182109458b7c,7/20,C2,2,1,57,44,True,True,False,True
380db98319caa27fa244,grid,train,0d98c984b86eb379828c,e8efc6b3872e2604e84b6168,991674061a9b542d181e8199,1/20,C2,3,2,15,26,True,True,False,False
0108a4c75945cde2380d,grid,train,0f78006f4bcc81c928d6,c53b4e4984cf15719948c9a1,75efe74ce45442f0c1b70f0d,9/20,C2,3,2,29,44,True,True,False,False
0a17f970949330983bb0,grid,train,1011837b2b62f1626f8a,50edd98a553a56de2535149e,99813d095a54d347a4cebff2,7/20,C2,1,0,42,60,True,True,False,False
013a25a67d743fb66adb,grid,train,11adf3acc15ceebbae85,7f6f0b1224192fa4a553e3d2,c16a7afe8e525a368c20de32,9/20,C2,3,2,53,31,True,True,False,False
1fca175e196250d89ead,grid,train,14de746c15f17e6e749a,d61339090fb2b1fae02391c1,afbd82fc674e3803a851fa3a,3/20,C2,2,1,30,33,True,True,False,False
0d6a53f79e18bd40150a,grid,train,159566450da5fa40c019,74a7b54c097c831861eca967,570c1aecfdd0e67e19432f3e,7/20,C2,2,0,11,46,True,True,False,False
74a7caed0763d255b870,grid,train,1b8ec9dcd6f3607c0579,7dc029bbe62a9031c1561535,3e1cc729a57363b54e0bd704,1/4,C2,2,1,57,44,True,True,False,True
089d1d709e9b296334b4,grid,train,1fb19052401f7163f6ee,e869847286e6d27dcffb20bf,49a2b579888b75eea526b424,7/20,C2,2,1,47,42,True,True,False,False
2fbd0dd60e19bcf8af46,grid,train,21701c27059061c82526,2a99bd3cb3b3ad667b6538db,ee757a4b8a360bae4d6777c4,1/20,C2,2,0,63,62,True,True,False,False
3d43c1374a9092631ad5,grid,train,23b6c9cf531ac85e068a,79d8723e4b15f0e8b35db7f3,0ea40f678ef62940e7f3a449,1/20,C2,2,1,47,42,True,True,False,False
145c7be32dbf401b7c31,grid,train,2c645d5bbe065fd8c490,8a908a6cfcfd11cc161b9a53,096ae9872adcbc98df72e9d1,3/20,C1,1,2,50,8,True,True,False,False
463802b87430ebba0137,grid,train,2e339b65d59b4a9d9cc5,8660eb26f737910705e295da,790b0500a7bfb0d9734df56f,7/20,C2,3,2,61,31,True,True,False,False
0d9845ac986cabcfa96e,grid,train,2faba52d9f5612d58f2c,e8a4923ba311b50fd508bae8,fd6f8f643f0cdb50deee8f54,1/20,C2,2,1,30,50,True,True,False,False
