pair_id,tier,split,group_id,clean_id,corrupt_id,reliability,winner,agreement_c1,agreement_c2,clean_schedule,corrupt_schedule,strict_boundary_pair,same_grid,same_questions,same_reports
0315652f60b23047a88e,totals,test,45a017874926840b388a,42ceb9586e340c46136e52c1,83e0434aecc92cb5235cdaac,7/20,C2,2,1,9,1,False,False,False,False
036d6e49f1c30c7d4b5f,totals,test,e3a89f25ab746521d0b9,01aca7cfe5c6c08367d54f2a,e4cd6148b7b26f0141ec5ed5,1/4,C2,2,1,1,6,True,False,False,False
06448c8280509a3e3a9f,totals,test,850252ccffc06553b3c6,b338682d46fec21d909f4028,3e13caf29258ae256e7a1d9f,1/20,C2,2,1,10,6,True,False,False,False
08bc05a00fd5a1fcabff,totals,test,45a017874926840b388a,42ceb9586e340c46136e52c1,5523587179542c9587f52edf,7/20,C2,2,1,9,6,True,False,False,False
09ef970bc2c6d7adca2f,totals,test,2bc8f425a7ee99196720,178492e64d76229929c9fbce,81fea19b85a6734ac2bbb60b,1/20,C2,1,0,9,1,True,False,False,True
09f50e50750fbc1ff53c,totals,test,55d149708cff380de939,6b787a5bb0142f247a353810,a6a1e8575eff60f5d4667cc4,9/20,C2,3,1,3,4,True,False,False,True
0b49cc6fdd61250d194f,totals,test,9b91a73197ef2b25deb5,6c0d8719d9911c38a91b149e,9070eedcc52903c9d1ac91d5,1/20,C1,1,2,6,9,False,False,False,False
0f64ad07c7e7539abedf,totals,test,3b4649e9fbb33a237c22,9cba9eb85fc2b38e6e4b9c79,c80ffec6324e65ee94291e73,9/20,C2,2,1,9,1,True,False,False,False
101ed278d85bf32ed38a,totals,test,45a017874926840b388a,772f29a2af9747d7dc2584d8,83e0434aecc92cb5235cdaac,7/20,C2,2,1,9,1,False,False,False,True
1285cd3288dd21029de0,totals,test,1a3507f6d0f65a41aec2,bea9bce357d579bb932158a5,1aee33ddc7c9dbfb18f55203,1/4,C2,1,0,10,1,True,False,False,False
1299dac711a548712268,totals,test,850252ccffc06553b3c6,9ac9c5bd7bdd61d273e2afd2,3e13caf29258ae256e7a1d9f,1/20,C2,2,1,10,6,True,False,False,False
135afd84787d69d07a05,totals,test,3162eb7ae987c34e37d2,452fdb3e9010a8bd32406f7f,ace4383f6642fe3ee39e39d0,1/4,C2,3,1,3,4,True,False,False,True
1496396c95d99e5b7b44,totals,test,3b4649e9fbb33a237c22,2f0601a713cdeb0e077bb698,c80ffec6324e65ee94291e73,9/20,C2,2,1,10,1,True,False,False,False
1a2a3a03a7e3ab0d70b0,totals,test,1a3507f6d0f65a41aec2,5be8b67cfac625c3e24f11c2,1aee33ddc7c9dbfb18f55203,1/4,C2,1,0,9,1,True,False,False,True
