split,correctness_criterion,bayes_winner,mixed_groups,denoising_pairs_if_relaxed,noising_pairs_if_relaxed,unique_clean_rows,unique_corrupted_rows,executed
all,emitted_answer,C1,11,18,18,16,13,False
all,emitted_answer,C2,57,71,71,69,59,False
all,emitted_answer,both,68,89,89,85,72,False
all,emitted_and_strict_boundary_agree,C1,8,13,13,13,8,False
all,emitted_and_strict_boundary_agree,C2,28,32,32,32,28,False
all,emitted_and_strict_boundary_agree,both,36,45,45,45,36,False
train,emitted_answer,C1,7,14,14,12,9,False
train,emitted_answer,C2,48,61,61,59,50,False
train,emitted_answer,both,55,75,75,71,59,False
train,emitted_and_strict_boundary_agree,C1,5,10,10,10,5,False
train,emitted_and_strict_boundary_agree,C2,27,31,31,31,27,False
train,emitted_and_strict_boundary_agree,both,32,41,41,41,32,False
test,emitted_answer,C1,0,0,0,0,0,False
test,emitted_answer,C2,0,0,0,0,0,False
test,emitted_answer,both,0,0,0,0,0,False
test,emitted_and_strict_boundary_agree,C1,0,0,0,0,0,False
test,emitted_and_strict_boundary_agree,C2,0,0,0,0,0,False
test,emitted_and_strict_boundary_agree,both,0,0,0,0,0,False
